date,time,temp,hum,dust,mdust
2024-11-21,03:32:27,23,49,20,20
2024-11-21,03:32:56,23,49,20,17
2024-11-21,03:33:25,23,49,21,20
2024-11-21,03:33:54,23,49,23,23
2024-11-21,03:34:24,23,49,22,20
2024-11-21,03:34:53,23,49,23,20
2024-11-21,03:35:22,23,49,22,21
2024-11-21,03:35:51,23,49,21,19
2024-11-21,03:36:21,23,49,20,20
2024-11-21,03:36:50,23,49,19,18
2024-11-21,03:37:19,23,49,19,18
2024-11-21,03:37:48,23,49,23,22
2024-11-21,03:38:18,23,49,22,22
2024-11-21,03:38:47,23,49,21,21
2024-11-21,03:39:16,23,49,22,22
2024-11-21,03:39:46,23,49,22,22
2024-11-21,03:40:15,23,49,22,20
2024-11-21,03:40:44,23,49,21,21
2024-11-21,03:41:13,23,49,19,19
2024-11-21,03:41:43,23,49,25,22
2024-11-21,03:42:12,23,49,25,24
2024-11-21,03:42:41,23,49,20,19
2024-11-21,03:43:10,23,49,26,25
2024-11-21,03:43:40,23,49,22,22
2024-11-21,03:44:09,23,49,23,21
2024-11-21,03:44:38,23,49,21,21
2024-11-21,03:45:07,23,49,19,19
2024-11-21,03:45:37,23,49,23,21
2024-11-21,03:46:06,23,49,21,21
2024-11-21,03:46:35,23,49,21,19
2024-11-21,03:47:04,23,49,25,25
2024-11-21,03:47:34,23,49,19,19
2024-11-21,03:48:03,23,49,22,22
2024-11-21,03:48:32,23,49,18,18
2024-11-21,03:49:01,23,49,21,21
2024-11-21,03:49:31,23,49,22,22
2024-11-21,03:50:00,23,49,22,22
2024-11-21,03:50:29,23,49,25,22
2024-11-21,03:50:58,23,49,16,16
2024-11-21,03:51:28,23,49,20,20
2024-11-21,03:51:57,23,49,19,19
2024-11-21,03:52:26,23,49,23,23
2024-11-21,03:52:55,23,49,22,21
2024-11-21,03:53:25,23,49,19,19
2024-11-21,03:53:54,23,49,26,24
2024-11-21,03:54:23,23,49,22,22
2024-11-21,03:54:52,23,49,25,23
2024-11-21,03:55:22,23,49,23,22
2024-11-21,03:55:51,23,49,24,24
2024-11-21,03:56:20,23,49,21,20
2024-11-21,03:56:50,23,49,23,22
2024-11-21,03:57:19,23,49,19,19
2024-11-21,03:57:48,23,49,25,24
2024-11-21,03:58:17,23,49,20,20
2024-11-21,03:58:47,23,49,23,22
2024-11-21,03:59:16,23,49,22,21
2024-11-21,03:59:45,23,49,22,20
2024-11-21,04:00:14,23,49,20,19
2024-11-21,04:00:44,23,49,21,21
2024-11-21,04:01:13,23,49,23,22
